id,code,name,kana,memo,created_at,updated_at
1,LJ,ジンエアー,じんえあ,,2016/6/27 16:07,2016/6/27 16:07
2,AA,アメリカン航空,あめりかんこうくう,,2009/2/28 20:50,2009/2/28 20:50
3,AF,エールフランス,えーるふらんす,,2009/2/28 20:50,2009/2/28 20:50
4,AM,アエロメヒコ航空,あえろめひここうくう,,2009/2/28 20:50,2009/2/28 20:50
5,AY,フィンランド航空,ふぃんらんどこうくう,,2009/2/28 20:50,2009/2/28 20:50
6,BR,エバー航空,えばーこうくう,,2009/2/28 20:50,2009/2/28 20:50
7,CA,中国国際航空,ちゅうごくこくさいこうくう,,2009/2/28 20:50,2009/2/28 20:50
8,CI,チャイナエアライン,ちゃいなえあらいん,,2009/2/28 20:50,2009/2/28 20:50
9,CX,キャセイパシフィック航空,きゃせいぱしふぃっくこうくう,,2009/2/28 20:50,2009/2/28 20:50
10,CZ,中国南方航空,ちゅうごくなんぽうこうくう,,2009/2/28 20:50,2009/2/28 20:50
11,GA,ガルーダ・インドネシア航空,がるーだ・いんどねしあこうくう,,2009/2/28 20:50,2009/2/28 20:50
12,HD,AIR DO,えあー・どぅ,,2009/2/28 20:50,2009/2/28 20:50
13,HY,ウズベキスタン航空,うずべきすたんこうくう,,2009/2/28 20:50,2009/2/28 20:50
14,XJ,タイ・エアアジアX,たいえああじあえっくす,,2014/7/22 15:19,2014/7/22 15:19
15,IB,イベリア・スペイン航空,いべりあ・すぺいんこうくう,,2009/2/28 20:50,2009/2/28 20:50
16,RS,エアソウル,えあそうる,,2017/12/18 16:04,2017/12/18 16:04
17,KL,KLMオランダ航空,けーえるえむおらんだこうくう,,2009/2/28 20:50,2009/2/28 20:50
18,LH,ルフトハンザ・ドイツ航空,るふとはんざ・どいつこうくう,,2009/2/28 20:50,2009/2/28 20:50
19,LX,スイスインターナショナルエアラインズ,すいすいんたーなしょなるえあらいんず,,2009/2/28 20:50,2009/2/28 20:50
20,GS,天津航空,てんしんこうくう,,2016/1/24 11:40,2016/1/24 11:40
21,MH,マレーシア航空,まれーしあこうくう,,2009/2/28 20:50,2009/2/28 20:50
22,MU,中国東方航空,ちゅうごくとうほうこうくう,,2009/2/28 20:50,2009/2/28 20:50
23,5J,セブパシフィック航空,せぶぱしふぃっくこうくう,,2014/3/21 17:44,2014/3/21 17:44
24,NU,JTA(日本トランスオーシャン),じぇいてぃーえー(にほんとらんすおーしゃん),,2009/2/28 20:50,2009/2/28 20:50
25,NZ,ニュージーランド航空,にゅーじーらんどこうくう,,2009/2/28 20:50,2009/2/28 20:50
26,OS,オーストリア航空,おーすとりあこうくう,,2009/2/28 20:50,2009/2/28 20:50
27,OZ,アシアナ航空,あしあなこうくう,,2009/2/28 20:50,2009/2/28 20:50
28,PR,フィリピン航空,ふぃりぴんこうくう,,2009/2/28 20:50,2009/2/28 20:50
29,QF,カンタス航空,かんたすこうくう,,2009/2/28 20:50,2009/2/28 20:50
30,JL,日本航空(JAL),にほんこうくう,,2009/2/28 20:50,2014/1/29 10:55
31,MQ,スターフライヤー,すたーふらいやー,,2009/2/28 20:50,2018/5/25 15:28
32,ZG,ZIPAIR Tokyo,じっぷえあとーきょー,,2009/2/28 20:50,2020/10/26 19:02
33,JH,フジドリームエアラインズ,ふじどりーむえあらいんず,,2018/10/3 10:03,2018/10/3 10:03
34,BC,スカイマーク,すかいまーく,,2009/2/28 20:50,2019/3/29 18:26
35,FJ,フィジー・エアウェイズ,ふぃじー・えあうぇいず,,2009/2/28 20:50,2023/6/4 17:27
36,HX,香港航空,ほんこんこうくう,,2010/10/28 1:36,2023/6/4 17:27
37,OM,MIATモンゴル航空,もんごるこうくう,,2009/2/28 20:50,2023/6/4 17:27
38,6J,SNA(ソラシド エア),そらしど えあ,,2009/2/28 20:50,2023/6/4 17:33
39,IR,イラン航空,いらんこうくう,,2009/2/28 20:50,2023/6/4 17:42
40,AZ,アリタリア航空,ありたりあこうくう,,2009/2/28 20:50,2023/6/4 17:43
41,NW,ノースウェスト航空,のーすうぇすとこうくう,,2009/2/28 20:50,2023/6/4 17:51
42,RG,ヴァリグ・ブラジル航空,う゛ぁりぐ・ぶらじるこうくう,,2009/2/28 20:50,2023/6/4 17:53
43,SC,山東航空,さんとうこうくう,,2016/10/14 8:34,2023/6/4 18:11
44,9W,ジェットエアウェイズ,じぇっとえあうぇいず,,2009/2/28 20:50,2023/6/4 18:35
45,NQ,エアージャパン,えあーじゃぱん,,2009/2/28 20:50,2023/6/4 18:18
46,AI,エア・インディア,えあいんでぃあ,,2009/2/28 20:50,2023/6/4 18:18
47,AC,エア・カナダ,えあかなだ,,2009/2/28 20:50,2023/6/4 18:18
48,CS,コンチネンタル・ミクロネシア,こんちねんたる・みくろねしあ,,2009/2/28 20:50,2023/6/4 18:25
49,FM,上海航空,しゃんはいこうくう,,2009/2/28 20:50,2023/6/4 18:30
50,DL,デルタ航空,でるたこうくう,,2009/2/28 20:50,2023/6/4 18:54
51,PX,ニューギニア航空,にゅーぎにあこうくう,,2009/2/28 20:50,2023/6/4 19:05
52,PK,パキスタン航空,ぱきすたんこうくう,,2009/2/28 20:50,2023/6/4 19:12
53,8B,ビジネスエア,びじねすえあ,,2011/3/28 18:50,2023/6/4 19:13
54,BA,ブリティッシュ・エアウェイズ,ぶりてぃっしゅ・えあうぇいず,,2009/2/28 20:50,2023/6/10 15:58
55,MX,メキシカーナ航空,めきしかーなこうくう,,2009/2/28 20:50,2023/6/10 16:06
56,RD,ライアンエアー,らいあんえあー,,2012/12/31 17:29,2023/6/10 16:15
57,BG,ビーマン・バングラディシュ航空,びーまん・ばんぐらでぃしゅこうくう,,2009/2/28 20:50,2023/8/29 18:12
58,SQ,シンガポール航空,しんがぽーるこうくう,,2009/2/28 20:50,2009/2/28 20:50
59,TG,タイ国際航空,たいこくさいこうくう,,2009/2/28 20:50,2009/2/28 20:50
60,UA,ユナイテッド航空,ゆないてっどこうくう,,2009/2/28 20:50,2009/2/28 20:50
61,UL,スリランカ航空,すりらんかこうくう,,2009/2/28 20:50,2009/2/28 20:50
62,VN,ベトナム航空,べとなむこうくう,,2009/2/28 20:50,2009/2/28 20:50
63,EY,エティハド航空,えてぃはどくうこう,,2010/3/24 13:05,2010/3/24 13:05
64,NX,マカオ航空,まかおこうくう,,2010/3/24 13:05,2010/3/24 13:05
65,EK,エミレーツ航空,えみれーつこうくう,,2009/2/28 20:50,2009/2/28 20:50
66,BX,エアプサン,えあぷさん,,2011/6/24 18:29,2011/6/24 18:29
67,ZE,イースター航空,いーすたーこうくう,,2011/6/24 18:30,2011/6/24 18:30
68,JF,ジェットアジアエアウェイズ,じぇっとあじあえあうぇいず,,2012/2/28 18:35,2012/2/28 18:35
69,KE,大韓航空(コリアンエアー),だいかんこうくう(こりあんえあー),,2009/2/28 20:50,2009/2/28 20:50
70,9C,春秋航空,しゅんじゅうこうくう,,2015/10/18 16:51,2019/10/30 12:18
71,NH,全日空(ANA),ぜんにっくう,,2009/2/28 20:50,2014/1/29 11:13
72,ET,エチオピア航空,えちおぴあこうくう,,2015/3/22 12:07,2015/3/22 12:07
73,BK,奥凱航空,おっけーこうくう,,2016/1/24 11:42,2016/1/24 11:42
74,HU,海南航空,かいなんこうくう,,2016/1/24 11:50,2016/1/24 11:50
75,3U,四川航空,しせんこうくう,,2016/1/24 13:43,2016/1/24 13:43
76,TW,ティーウェイ航空,てぃーうぇいこうくう,,2016/3/18 14:53,2016/3/18 14:53
77,ZV,Vエア,ぶいえあ,,2016/4/13 13:45,2016/4/13 13:45
78,7G,スターフライヤー,すたーふらいやー,,2016/5/1 15:02,2016/5/1 15:02
79,IJ,スプリング・ジャパン,すぷりんぐじゃぱん,,2014/5/25 15:49,2023/3/21 16:11
80,GK,ジェットスター・ジャパン(国内線),じぇっとすたあじゃぱん,,2012/6/29 14:45,2021/11/16 21:12
81,JO,JALウェイズ,じゃるうぇいず,,2009/2/28 20:50,2018/5/25 15:28
82,BI,ロイヤルブルネイ航空,ろいやるぶるねいこうくう,,2018/11/20 12:01,2018/11/20 12:01
83,MM,Peach,ぴーち・あびえーしょん,,2013/10/27 0:13,2020/10/25 14:20
84,VJ,ベトジェットエア,べとじぇっとえあ,,2018/12/24 13:54,2018/12/24 13:54
85,MS,エジプト航空,えじぷとこうくう,,2009/2/28 20:50,2023/6/4 17:25
86,LA,ラタム航空,らたむこうくう,,2010/10/28 1:36,2023/6/10 16:22
87,HO,吉祥航空,きっしょうこうくう,,2016/1/24 13:15,2023/6/4 18:07
88,QR,カタール航空,かたーるくうこう,,2010/7/27 11:38,2023/6/4 17:26
89,SU,アエロフロート・ロシア国際航空,あえろふろーと・ろしあこくさいこうくう,,2009/2/28 20:50,2023/6/4 18:14
90,HB,グレーターベイ航空,ぐれーたーべいこうくう,,2013/11/27 9:36,2023/6/4 17:26
91,ZH,深セン航空,しんせんこうくう,,2016/5/24 14:08,2023/6/4 17:26
92,TR,スクート航空,すくーとこうくう,,2017/9/29 8:37,2023/6/4 17:26
93,IT,タイガーエア台湾,たいがーえあたいわん,,2015/4/11 9:40,2023/6/4 17:26
94,7C,済州航空,ちぇじゅこうくう,,2013/5/27 14:17,2023/6/4 17:26
95,SL,タイ・ライオン・エア,たい・らいおん・えあ,,2018/11/25 15:39,2023/6/4 18:44
96,NA,ノースアメリカン航空,のーすあめりかんこうくう,,2009/2/28 20:50,2023/6/4 19:06
97,HA,ハワイアン航空,はわいあんこうくう,,2010/9/27 11:24,2023/6/4 17:27
98,JW,バニラ エア,ばにら えあ,,2012/6/29 14:47,2023/6/4 17:29
99,XT,インドネシア・エアアジアX,いんどねしあえああじあえっくす,,2017/5/10 15:20,2023/6/4 17:45
100,XM,ウラジオストック航空,うらじおすとっくこうくう,,2009/2/28 20:50,2023/6/4 17:48
101,VS,ヴァージンアトランティック航空,う゛ぁーじんあとらんてぃっくこうくう,,2009/2/28 20:50,2023/6/4 17:52
102,S7,S7航空,えすせぶんこうくう,,2015/8/6 15:37,2023/6/4 17:58
103,SB,エア・カレドニアインターナショナル,えあかれどにあいんたーなしょなる,,2009/2/28 20:50,2023/6/4 18:18
104,TN,エア・タヒチ・ヌイ,えあたひち・ぬい,,2009/2/28 20:50,2023/6/4 18:18
105,ZA,スカイアンコール航空,すかいあんこーるこうくう,,2015/5/1 12:34,2023/6/4 18:37
106,SK,スカンジナビア航空,すかんじなびあこうくう,,2009/2/28 20:50,2023/6/4 18:38
107,TK,ターキッシュ エアラインズ,たーきっしゅえあらいんず,,2009/2/28 20:50,2023/6/4 18:42
108,GE,復興航空,とらんすあじあこうくう,,2013/8/30 16:07,2023/6/4 18:55
109,UN,トランスアエロ航空,とらんすあえろこうくう,,2009/2/28 20:50,2023/6/4 18:55
110,AE,マンダリン航空,まんだりんこうくう,,2018/6/14 17:39,2023/6/10 16:04
111,XW,ノックスクート,のっくすくーと,,2013/1/30 17:37,2023/6/4 19:07
112,SA,南アフリカ航空,みなみあふりかこうくう,,2009/2/28 20:50,2023/6/10 16:05
113,R3,ヤクーツク航空,やくーつくこうくう,,2017/2/26 11:36,2023/6/10 16:07
114,US,USエアウェイズ,ゆーえす・えあうぇいず,,2009/2/28 20:50,2023/6/10 16:08
115,LO,LOTポーランド航空,ろっとぽーらんどこうくう,,2015/11/22 14:35,2023/6/10 16:19
116,DV,スカット航空,すかっとこうくう,,2019/9/22 8:22,2019/9/22 8:22
117,JX,スターラックス航空,すたーらっくすこうくう,,2020/12/30 17:07,2020/12/30 17:07
118,QH,バンブーエアウェイズ,ばんぶーえあうぇいず,,2022/3/1 16:32,2022/3/1 16:32
119,4V,フライカンウォン,ふらいかんうぉん,,2022/10/30 9:22,2022/10/30 9:22
120,MO,アエロ・モンゴリア航空,あえろもんごりあこうくう,,2022/11/27 17:42,2022/11/27 17:42
121,YP,エアプレミア,えあぷれみあ,,2022/12/25 17:09,2022/12/25 17:09
122,Z2,フィリピンエアアジア,ふぃりぴんえああじあ,,2023/2/5 8:52,2023/2/5 8:52
123,MF,厦門航空,あもいこうくう,,2009/2/28 20:50,2023/6/4 17:25
124,D7,エアアジア,えああじあ,羽田国際線のみ,2010/10/28 1:36,2023/6/4 17:25
125,OD,バティックエア・マレーシア,ばてぃくえあまれーしあ,,2017/1/2 6:27,2023/6/4 17:27
126,JQ,ジェットスター航空(国際線),じぇっとすたーこうくう,,2009/2/28 20:50,2023/6/4 17:29
127,FW,アイベックスエアラインズ,あいべっくすえあらいんず,,2009/2/28 20:50,2023/6/4 17:32
128,LY,エルアル・イスラエル航空,えるあるいすらえるこうくう,,2020/2/24 13:29,2023/6/4 18:22
129,UO,香港エクスプレス航空,ほんこんえくすぷれすこうくう,,2013/10/27 0:15,2023/6/10 15:59
130,WS,ウェストジェット,うぇすとじぇっと,,2023/3/28 10:53,2023/6/10 16:24
131,RF,エアロK航空,えあろけーこうくう,,2023/9/25 16:16,2023/9/25 16:34
